

lambda(m), TE3
1.55519e-06, 0.996434
1.55469e-06, 0.996394
1.55418e-06, 0.996353
1.55368e-06, 0.996312
1.55317e-06, 0.996271
1.55267e-06, 0.996229
1.55216e-06, 0.996188
1.55166e-06, 0.996145
1.55115e-06, 0.996103
1.55065e-06, 0.99606
1.55015e-06, 0.996017
1.54964e-06, 0.995974
1.54914e-06, 0.99593
1.54864e-06, 0.995886
1.54814e-06, 0.995842
1.54763e-06, 0.995797
1.54713e-06, 0.995752
1.54663e-06, 0.995707
1.54613e-06, 0.995662
1.54563e-06, 0.995616
1.54513e-06, 0.99557
1.54463e-06, 0.995523
1.54413e-06, 0.995477
1.54363e-06, 0.99543
1.54313e-06, 0.995382
1.54264e-06, 0.995335
1.54214e-06, 0.995287
1.54164e-06, 0.995239
1.54114e-06, 0.99519
1.54065e-06, 0.995142
1.54015e-06, 0.995093
1.53965e-06, 0.995043
1.53916e-06, 0.994994
1.53866e-06, 0.994944
1.53816e-06, 0.994894
1.53767e-06, 0.994843
1.53717e-06, 0.994793
1.53668e-06, 0.994741
1.53619e-06, 0.99469
1.53569e-06, 0.994639
1.5352e-06, 0.994587
1.5347e-06, 0.994534
1.53421e-06, 0.994482
1.53372e-06, 0.994429
1.53323e-06, 0.994376
1.53273e-06, 0.994323
1.53224e-06, 0.994269
1.53175e-06, 0.994215
1.53126e-06, 0.994161
1.53077e-06, 0.994107
1.53028e-06, 0.994052
1.52979e-06, 0.993997
1.5293e-06, 0.993942
1.52881e-06, 0.993886
1.52832e-06, 0.993831
1.52783e-06, 0.993775
1.52734e-06, 0.993718
1.52685e-06, 0.993662
1.52637e-06, 0.993605
1.52588e-06, 0.993548
1.52539e-06, 0.99349
1.5249e-06, 0.993432
1.52442e-06, 0.993374
1.52393e-06, 0.993316
1.52344e-06, 0.993258
1.52296e-06, 0.993199
1.52247e-06, 0.99314
1.52199e-06, 0.993081
1.5215e-06, 0.993021
1.52102e-06, 0.992961
1.52053e-06, 0.992901
1.52005e-06, 0.992841
1.51957e-06, 0.99278
1.51908e-06, 0.992719
1.5186e-06, 0.992658
1.51812e-06, 0.992597
1.51764e-06, 0.992535
1.51715e-06, 0.992473
1.51667e-06, 0.992411
1.51619e-06, 0.992348
1.51571e-06, 0.992286
1.51523e-06, 0.992223
1.51475e-06, 0.992159
1.51427e-06, 0.992096
1.51379e-06, 0.992032
1.51331e-06, 0.991968
1.51283e-06, 0.991904
1.51235e-06, 0.99184
1.51187e-06, 0.991775
1.51139e-06, 0.99171
1.51091e-06, 0.991645
1.51044e-06, 0.991579
1.50996e-06, 0.991513
1.50948e-06, 0.991448
1.509e-06, 0.991381
1.50853e-06, 0.991315
1.50805e-06, 0.991248
1.50758e-06, 0.991181
1.5071e-06, 0.991114
1.50662e-06, 0.991047
1.50615e-06, 0.990979
1.50567e-06, 0.990911
1.5052e-06, 0.990843
1.50473e-06, 0.990775
1.50425e-06, 0.990706
1.50378e-06, 0.990637
1.50331e-06, 0.990568
1.50283e-06, 0.990499
1.50236e-06, 0.990429
1.50189e-06, 0.990359
1.50141e-06, 0.990289
1.50094e-06, 0.990219
1.50047e-06, 0.990148
1.5e-06, 0.990078



